Cheat code	         					Effet du code

x marks the spot						Révéle la carte
medium rare please						Donne 10 000 nourriture
give me liberty or give me coin					Donne 10 000 d'or
<censored>							Donne 10 000 bois
a whole lot of love						Donne 10 000 des trois ressources
nova & orion							Augmente le metropole de 4
a recent study indicated that 100% of herdables are obese	Tous les animaux domestiques sont plus gros
speed always wins						Constructions et gains de ressources plus rapides
ya gotta make do with what ya got				Appelle de l'artillerie
sooo good							décris la description responsable d'une mort
tuck tuck tuck							Appelle un 4x4 surpuissant
this is too hard						Donne la victoire
